epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,456.801,0.04666,0.91666,0.98949,0.38953,0.00333177,0.00333177,0.00333177
2,898.873,0.05156,0.91117,0.98809,0.40887,0.00654061,0.00654061,0.00654061
3,1341.73,0.13107,0.86506,0.97595,0.56108,0.00962491,0.00962491,0.00962491
4,1783.28,0.39618,0.85141,0.97292,0.59758,0.00943962,0.00943962,0.00943962
5,2221.67,0.40634,0.86296,0.97467,0.57453,0.00925283,0.00925283,0.00925283
6,2662.47,0.39871,0.86903,0.97339,0.56458,0.00906604,0.00906604,0.00906604
7,3106.57,0.37152,0.87055,0.97841,0.51603,0.00887925,0.00887925,0.00887925
8,3555.29,0.34845,0.88257,0.98051,0.50019,0.00869245,0.00869245,0.00869245
9,4002.74,0.33651,0.88176,0.98144,0.49247,0.00850566,0.00850566,0.00850566
10,4442.66,0.31793,0.88899,0.98004,0.48236,0.00831887,0.00831887,0.00831887
11,4885,0.30264,0.88689,0.98062,0.48401,0.00813208,0.00813208,0.00813208
12,5330.08,0.28783,0.89226,0.98389,0.45338,0.00794528,0.00794528,0.00794528
13,5771.25,0.28022,0.8981,0.98506,0.43317,0.00775849,0.00775849,0.00775849
14,6213.17,0.26047,0.8988,0.98424,0.4304,0.0075717,0.0075717,0.0075717
15,6652.7,0.24719,0.90265,0.98366,0.41826,0.00738491,0.00738491,0.00738491
16,7096.78,0.24428,0.90382,0.98459,0.41689,0.00719811,0.00719811,0.00719811
17,7538.36,0.23019,0.90265,0.98646,0.41185,0.00701132,0.00701132,0.00701132
18,7980.56,0.2117,0.9044,0.98646,0.41465,0.00682453,0.00682453,0.00682453
19,8423.18,0.2031,0.90825,0.98646,0.40634,0.00663774,0.00663774,0.00663774
20,8869.98,0.19828,0.90767,0.98728,0.40816,0.00645094,0.00645094,0.00645094
21,9313.54,0.1848,0.91164,0.98809,0.39875,0.00626415,0.00626415,0.00626415
22,9755.36,0.18385,0.91351,0.98728,0.39189,0.00607736,0.00607736,0.00607736
